Class,Axioms,Coverage
http://purl.bioontology.org/ontology/STY/T190,3,0.0000
http://purl.bioontology.org/ontology/STY/T192,1,0.0000
http://purl.bioontology.org/ontology/STY/T071,2,0.0000
http://purl.bioontology.org/ontology/STY/T191,1,0.0000
http://purl.bioontology.org/ontology/STY/T070,2,0.0000
http://purl.bioontology.org/ontology/STY/T103,3,0.0000
http://purl.bioontology.org/ontology/STY/T102,1,0.0000
http://purl.bioontology.org/ontology/STY/T069,1,0.0000
http://purl.bioontology.org/ontology/STY/T104,4,0.0000
http://purl.bioontology.org/ontology/STY/T109,3,0.0000
http://purl.bioontology.org/ontology/STY/T062,2,0.0000
http://purl.bioontology.org/ontology/STY/T061,1,0.0000
http://purl.bioontology.org/ontology/STY/T185,1,0.0000
http://purl.bioontology.org/ontology/STY/T064,1,0.0000
http://purl.bioontology.org/ontology/STY/T184,1,0.0000
http://purl.bioontology.org/ontology/STY/T063,1,0.0000
http://purl.bioontology.org/ontology/STY/T066,1,0.0000
http://purl.bioontology.org/ontology/STY/T065,1,0.0000
http://purl.bioontology.org/ontology/STY/T101,1,0.0000
http://purl.bioontology.org/ontology/STY/T068,2,0.0000
http://purl.bioontology.org/ontology/STY/T100,1,0.0000
http://purl.bioontology.org/ontology/STY/T067,4,0.0000
http://purl.bioontology.org/ontology/STY/T080,1,0.0000
http://purl.bioontology.org/ontology/STY/T082,5,0.0000
http://purl.bioontology.org/ontology/STY/T081,1,0.0000
http://purl.bioontology.org/ontology/STY/T114,1,0.0000
http://purl.bioontology.org/ontology/STY/T116,1,0.0000
http://purl.bioontology.org/ontology/STY/T194,1,0.0000
http://purl.bioontology.org/ontology/STY/T073,4,0.0000
http://purl.bioontology.org/ontology/STY/T072,5,0.0000
http://purl.bioontology.org/ontology/STY/T075,1,0.0000
http://purl.bioontology.org/ontology/STY/T196,1,0.0000
http://purl.bioontology.org/ontology/STY/T074,2,0.0000
http://purl.bioontology.org/ontology/STY/T195,1,0.0000
http://purl.bioontology.org/ontology/STY/T077,10,0.0000
http://purl.bioontology.org/ontology/STY/T197,1,0.0000
http://purl.bioontology.org/ontology/STY/T079,1,0.0000
