Class,Axioms,Coverage
http://semanticscience.org/resource/SIO_000755,8,0.0032
http://semanticscience.org/resource/SIO_000756,3,0.0012
http://semanticscience.org/resource/SIO_000753,5,0.0020
http://semanticscience.org/resource/SIO_000754,4,0.0016
http://semanticscience.org/resource/SIO_000759,2,0.0008
http://semanticscience.org/resource/SIO_000757,2,0.0008
http://semanticscience.org/resource/SIO_000758,4,0.0016
http://semanticscience.org/resource/SIO_000751,3,0.0012
http://semanticscience.org/resource/SIO_000752,5,0.0020
http://semanticscience.org/resource/SIO_000750,3,0.0012
http://semanticscience.org/resource/SIO_000744,2,0.0008
http://semanticscience.org/resource/SIO_000745,2,0.0008
http://semanticscience.org/resource/SIO_000742,2,0.0008
http://semanticscience.org/resource/SIO_000743,2,0.0008
http://semanticscience.org/resource/SIO_000748,2,0.0008
http://semanticscience.org/resource/SIO_000746,2,0.0008
http://semanticscience.org/resource/SIO_000747,6,0.0024
http://semanticscience.org/resource/SIO_000740,1,0.0004
http://semanticscience.org/resource/SIO_000741,3,0.0012
http://semanticscience.org/resource/SIO_000731,7,0.0028
http://semanticscience.org/resource/SIO_000732,3,0.0012
http://semanticscience.org/resource/SIO_000739,2,0.0008
http://semanticscience.org/resource/SIO_010100,3,0.0012
http://semanticscience.org/resource/SIO_010101,4,0.0016
http://semanticscience.org/resource/SIO_000730,2,0.0008
http://semanticscience.org/resource/SIO_000722,2,0.0008
http://semanticscience.org/resource/SIO_000723,2,0.0008
http://semanticscience.org/resource/SIO_000720,4,0.0016
http://semanticscience.org/resource/SIO_000721,3,0.0012
http://semanticscience.org/resource/SIO_000726,2,0.0008
http://semanticscience.org/resource/SIO_000727,1,0.0004
http://semanticscience.org/resource/SIO_000724,3,0.0012
http://semanticscience.org/resource/SIO_000725,2,0.0008
http://semanticscience.org/resource/SIO_000728,2,0.0008
http://semanticscience.org/resource/SIO_000729,3,0.0012
http://semanticscience.org/resource/SIO_000799,2,0.0008
http://semanticscience.org/resource/SIO_000315,10,0.0040
http://semanticscience.org/resource/SIO_000316,2,0.0008
http://semanticscience.org/resource/SIO_000797,2,0.0008
http://semanticscience.org/resource/SIO_000798,2,0.0008
http://semanticscience.org/resource/SIO_000314,3,0.0012
http://semanticscience.org/resource/SIO_000319,2,0.0008
http://semanticscience.org/resource/SIO_000317,2,0.0008
http://semanticscience.org/resource/SIO_000318,2,0.0008
