Class,Axioms,Coverage
http://www.semanticweb.org/social-prescribing#mdo000052,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000051,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000050,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000056,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000012,4,0.0727
http://www.semanticweb.org/social-prescribing#mdo000011,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000054,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000010,8,0.1455
http://www.semanticweb.org/social-prescribing#mdo000053,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000016,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000015,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000059,3,0.0545
http://www.semanticweb.org/social-prescribing#mdo000014,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000058,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000013,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000019,5,0.0909
http://www.semanticweb.org/social-prescribing#mdo000018,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000017,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000041,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000045,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000001,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000044,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000000,4,0.0727
http://www.semanticweb.org/social-prescribing#mdo000043,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000042,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000049,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000005,3,0.0545
http://www.semanticweb.org/social-prescribing#mdo000048,5,0.0909
http://www.semanticweb.org/social-prescribing#mdo000003,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000002,4,0.0727
http://www.semanticweb.org/social-prescribing#mdo000009,3,0.0545
http://www.semanticweb.org/social-prescribing#mdo000008,4,0.0727
http://www.semanticweb.org/social-prescribing#mdo000007,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000006,4,0.0727
http://www.semanticweb.org/social-prescribing#mdo000030,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000034,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000033,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000032,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000031,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000038,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000037,5,0.0909
http://www.semanticweb.org/social-prescribing#mdo000036,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000039,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000060,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000023,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000022,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000021,5,0.0909
http://www.semanticweb.org/social-prescribing#mdo000020,5,0.0909
http://www.semanticweb.org/social-prescribing#mdo000027,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000026,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000025,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000024,1,0.0182
http://www.semanticweb.org/social-prescribing#mdo000029,2,0.0364
http://www.semanticweb.org/social-prescribing#mdo000028,1,0.0182
