Class,Axioms,Coverage
http://www.mskcc.org/ontologies/2013/03/sae.owl#Fistula_Pancreatic,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Fistula_Pharyngeal,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Angina_Cardiac_Ischemia,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Malignant_Hyperthermia,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Cardiac_Arrest,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Anastomotic_Leak_Pharyngeal,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Limitation_of_Range_of_Motion,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Neurogenic_Bladder,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Vomiting,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Venous_Access_Device_Dysfunction,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Malnutrition,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Sinusitis,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Foreign_Body_Infection,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Hypoglycemia,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Urinary_fistula_leak_Kidney,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Cerebrovascular_Accident,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Progression_of_disease_death,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Liver_Dysfunction_Failure,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Diabetes_Mellitus,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Intra-abdominal_Infection_or_Abscess,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Fascial_Dehiscence_or_Evisceration,6,0.0023
http://www.w3.org/2002/07/owl#Nothing,2,0.0008
http://www.mskcc.org/ontologies/2013/03/sae.owl#Nausea,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Clostridium_Difficile_Colitis,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Head_and_Neck,11,0.0043
http://www.mskcc.org/ontologies/2013/03/sae.owl#Arthritis_Gout_or_Non-septic,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Gastrointestinal,49,0.0191
http://www.mskcc.org/ontologies/2013/03/sae.owl#Delirium_Tremens,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Apnea_or_Hypoxia,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Bradycardia_Heart_Block,6,0.0023
http://www.mskcc.org/ontologies/2013/03/sae.owl#Fistula_Esophagus,6,0.0023
