Class,Axioms,Coverage
http://purl.obolibrary.org/obo/TTO_102009,4,0.0001
http://purl.obolibrary.org/obo/TTO_102004,6,0.0002
http://purl.obolibrary.org/obo/TTO_104665,2,0.0001
http://purl.obolibrary.org/obo/TTO_104666,31,0.0008
http://purl.obolibrary.org/obo/TTO_104668,7,0.0002
http://purl.obolibrary.org/obo/TTO_1061399,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061398,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061395,1,0.0000
http://purl.obolibrary.org/obo/TTO_102001,29,0.0008
http://purl.obolibrary.org/obo/TTO_1061396,1,0.0000
http://purl.obolibrary.org/obo/TTO_104654,5,0.0001
http://purl.obolibrary.org/obo/TTO_1061388,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061389,1,0.0000
http://purl.obolibrary.org/obo/TTO_104650,2,0.0001
http://purl.obolibrary.org/obo/TTO_104651,9,0.0002
http://purl.obolibrary.org/obo/TTO_1061384,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061385,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061383,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061380,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061381,1,0.0000
http://purl.obolibrary.org/obo/TTO_104642,2,0.0001
http://purl.obolibrary.org/obo/TTO_104645,22,0.0006
http://purl.obolibrary.org/obo/TTO_104647,2,0.0001
http://purl.obolibrary.org/obo/TTO_104648,3,0.0001
http://purl.obolibrary.org/obo/TTO_104649,3,0.0001
http://purl.obolibrary.org/obo/TTO_1061379,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061377,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061378,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061375,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061376,1,0.0000
http://purl.obolibrary.org/obo/TTO_104641,32,0.0008
http://purl.obolibrary.org/obo/TTO_1061373,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061374,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061371,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061372,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061370,1,0.0000
http://purl.obolibrary.org/obo/TTO_104639,5,0.0001
http://purl.obolibrary.org/obo/TTO_1048399,1,0.0000
http://purl.obolibrary.org/obo/TTO_104631,2,0.0001
http://purl.obolibrary.org/obo/TTO_104637,6,0.0002
http://purl.obolibrary.org/obo/TTO_104638,4,0.0001
http://purl.obolibrary.org/obo/TTO_1061368,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061369,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061364,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061365,1,0.0000
http://purl.obolibrary.org/obo/TTO_104630,3,0.0001
http://purl.obolibrary.org/obo/TTO_1061363,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061360,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061361,1,0.0000
http://purl.obolibrary.org/obo/TTO_104628,2,0.0001
http://purl.obolibrary.org/obo/TTO_104629,3,0.0001
http://purl.obolibrary.org/obo/TTO_104621,2,0.0001
http://purl.obolibrary.org/obo/TTO_104622,3,0.0001
http://purl.obolibrary.org/obo/TTO_1061359,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061357,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061358,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061355,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061356,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061353,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061354,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048392,1,0.0000
http://purl.obolibrary.org/obo/TTO_104617,6,0.0002
http://purl.obolibrary.org/obo/TTO_104618,17,0.0004
http://purl.obolibrary.org/obo/TTO_1048377,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048376,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048379,1,0.0000
http://purl.obolibrary.org/obo/TTO_104610,2,0.0001
http://purl.obolibrary.org/obo/TTO_104613,2,0.0001
http://purl.obolibrary.org/obo/TTO_104615,2,0.0001
http://purl.obolibrary.org/obo/TTO_104616,9,0.0002
http://purl.obolibrary.org/obo/TTO_1061343,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061340,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048380,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048382,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048369,1,0.0000
http://purl.obolibrary.org/obo/TTO_104608,3,0.0001
http://purl.obolibrary.org/obo/TTO_104609,5,0.0001
http://purl.obolibrary.org/obo/TTO_104604,2,0.0001
http://purl.obolibrary.org/obo/TTO_1061339,1,0.0000
http://purl.obolibrary.org/obo/TTO_104605,10,0.0003
http://purl.obolibrary.org/obo/TTO_1061338,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063998,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061335,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061336,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063997,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061333,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061334,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061331,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061332,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063991,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048372,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063990,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048356,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063989,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063988,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063985,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061323,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061320,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048361,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048363,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048348,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048347,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024379,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024378,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012390,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024376,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012392,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012393,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024375,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048345,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024374,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036363,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036361,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061319,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061317,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061318,1,0.0000
http://purl.obolibrary.org/obo/TTO_102081,2,0.0001
http://purl.obolibrary.org/obo/TTO_1063976,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063973,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024384,1,0.0000
http://purl.obolibrary.org/obo/TTO_102089,2,0.0001
http://purl.obolibrary.org/obo/TTO_1012384,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048351,1,0.0000
http://purl.obolibrary.org/obo/TTO_102088,3,0.0001
http://purl.obolibrary.org/obo/TTO_1012385,1,0.0000
http://purl.obolibrary.org/obo/TTO_1051994,1,0.0000
http://purl.obolibrary.org/obo/TTO_102087,3,0.0001
http://purl.obolibrary.org/obo/TTO_1012387,1,0.0000
http://purl.obolibrary.org/obo/TTO_102086,2,0.0001
http://purl.obolibrary.org/obo/TTO_1024381,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024380,1,0.0000
http://purl.obolibrary.org/obo/TTO_102085,7,0.0002
http://purl.obolibrary.org/obo/TTO_1012388,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012389,1,0.0000
http://purl.obolibrary.org/obo/TTO_102083,5,0.0001
http://purl.obolibrary.org/obo/TTO_1051999,1,0.0000
http://purl.obolibrary.org/obo/TTO_102082,2,0.0001
http://purl.obolibrary.org/obo/TTO_1024389,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048338,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012380,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024388,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012381,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012382,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024386,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012383,1,0.0000
http://purl.obolibrary.org/obo/TTO_102079,70,0.0018
http://purl.obolibrary.org/obo/TTO_1036373,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036371,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036370,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063969,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063965,1,0.0000
http://purl.obolibrary.org/obo/TTO_1061302,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036366,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063963,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063962,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036364,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012373,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012374,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024394,1,0.0000
http://purl.obolibrary.org/obo/TTO_1051982,1,0.0000
http://purl.obolibrary.org/obo/TTO_1051983,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024393,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012376,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024392,1,0.0000
http://purl.obolibrary.org/obo/TTO_102075,41,0.0011
http://purl.obolibrary.org/obo/TTO_1024391,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012377,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024390,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012378,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012379,1,0.0000
http://purl.obolibrary.org/obo/TTO_102071,8,0.0002
http://purl.obolibrary.org/obo/TTO_1024358,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024357,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024356,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024355,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048322,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024354,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048324,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048323,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036340,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048329,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063959,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063958,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063957,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063955,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036338,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063954,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036335,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038998,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038997,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036333,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038995,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036334,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038994,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038993,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024362,1,0.0000
http://purl.obolibrary.org/obo/TTO_1051972,1,0.0000
http://purl.obolibrary.org/obo/TTO_102064,15,0.0004
http://purl.obolibrary.org/obo/TTO_102062,7,0.0002
http://purl.obolibrary.org/obo/TTO_1051976,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036339,1,0.0000
http://purl.obolibrary.org/obo/TTO_102060,10,0.0003
http://purl.obolibrary.org/obo/TTO_1024369,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048314,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024368,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024366,1,0.0000
http://purl.obolibrary.org/obo/TTO_102059,9,0.0002
http://purl.obolibrary.org/obo/TTO_1024364,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048313,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024363,1,0.0000
http://purl.obolibrary.org/obo/TTO_102057,20,0.0005
http://purl.obolibrary.org/obo/TTO_1036350,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063949,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063946,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036348,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063942,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036344,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063940,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036343,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024373,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012395,1,0.0000
http://purl.obolibrary.org/obo/TTO_102056,12,0.0003
http://purl.obolibrary.org/obo/TTO_102055,25,0.0006
http://purl.obolibrary.org/obo/TTO_1048320,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012397,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024371,1,0.0000
http://purl.obolibrary.org/obo/TTO_102054,7,0.0002
http://purl.obolibrary.org/obo/TTO_1051961,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024370,1,0.0000
http://purl.obolibrary.org/obo/TTO_102053,4,0.0001
http://purl.obolibrary.org/obo/TTO_102052,4,0.0001
http://purl.obolibrary.org/obo/TTO_1051964,1,0.0000
http://purl.obolibrary.org/obo/TTO_102050,14,0.0004
http://purl.obolibrary.org/obo/TTO_1051966,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048304,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024337,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024336,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048303,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024333,1,0.0000
http://purl.obolibrary.org/obo/TTO_1026992,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038980,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063939,1,0.0000
http://purl.obolibrary.org/obo/TTO_1026996,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063937,1,0.0000
http://purl.obolibrary.org/obo/TTO_1048307,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024339,1,0.0000
http://purl.obolibrary.org/obo/TTO_1026998,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012348,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063934,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063932,1,0.0000
http://purl.obolibrary.org/obo/TTO_1036313,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038975,1,0.0000
http://purl.obolibrary.org/obo/TTO_1063930,1,0.0000
http://purl.obolibrary.org/obo/TTO_1038972,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012340,1,0.0000
http://purl.obolibrary.org/obo/TTO_1024340,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012342,1,0.0000
http://purl.obolibrary.org/obo/TTO_1012343,1,0.0000
