Class,Axioms,Coverage
http://purl.obolibrary.org/obo/TXPO_0001843,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000512,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001842,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001841,11,0.0005
http://purl.obolibrary.org/obo/TXPO_0001840,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0000516,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0001847,11,0.0005
http://purl.obolibrary.org/obo/GO_0071840,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001846,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000515,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0001845,7,0.0003
http://purl.obolibrary.org/obo/TXPO_0000514,12,0.0005
http://purl.obolibrary.org/obo/TXPO_0001844,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0000513,19,0.0008
http://purl.obolibrary.org/obo/TXPO_0000509,10,0.0004
http://purl.obolibrary.org/obo/TXPO_0000508,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001839,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001838,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000507,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000506,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001837,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001832,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000501,165,0.0073
http://purl.obolibrary.org/obo/TXPO_0000500,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001831,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001830,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001836,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000505,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0000504,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001835,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001834,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000503,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0001833,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000502,6,0.0003
http://purl.obolibrary.org/obo/IMR_0200251,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001829,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0001113,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001828,4,0.0002
http://purl.obolibrary.org/obo/IMR_0200253,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001827,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001826,7,0.0003
http://purl.obolibrary.org/obo/UBERON_0001115,2,0.0001
http://purl.obolibrary.org/obo/OGG_3000023659,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001821,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0001820,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001825,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001824,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001823,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001822,5,0.0002
http://purl.obolibrary.org/obo/GO_0032259,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004098,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0004099,4,0.0002
http://purl.obolibrary.org/obo/TXPO_1000391,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0004094,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000390,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004095,4,0.0002
http://purl.obolibrary.org/obo/TXPO_1000393,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0004096,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004097,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000392,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004090,3,0.0001
http://purl.obolibrary.org/obo/CHEBI_9516,3,0.0001
http://purl.obolibrary.org/obo/TXPO_1000395,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0004091,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000394,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000397,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004092,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0004093,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000396,3,0.0001
http://purl.obolibrary.org/obo/TXPO_1000399,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001818,5,0.0002
http://purl.obolibrary.org/obo/TXPO_1000398,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001817,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001816,7,0.0003
http://purl.obolibrary.org/obo/TXPO_0001815,7,0.0003
http://purl.obolibrary.org/obo/IMR_0200281,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001819,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001810,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001814,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0001813,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0001812,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0001811,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0004087,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0004088,7,0.0003
http://purl.obolibrary.org/obo/TXPO_0004089,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004083,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000380,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0004084,7,0.0003
http://purl.obolibrary.org/obo/IMR_0100850,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0004085,8,0.0004
http://purl.obolibrary.org/obo/IMR_0100851,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0004086,6,0.0003
http://purl.obolibrary.org/obo/TXPO_1000381,2,0.0001
http://purl.obolibrary.org/obo/IMR_0100852,1,0.0000
http://purl.obolibrary.org/obo/TXPO_1000384,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004080,2,0.0001
http://purl.obolibrary.org/obo/IMR_0100853,1,0.0000
http://purl.obolibrary.org/obo/TXPO_1000383,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004081,4,0.0002
http://purl.obolibrary.org/obo/IMR_0100854,1,0.0000
http://purl.obolibrary.org/obo/TXPO_1000386,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0004082,2,0.0001
http://purl.obolibrary.org/obo/TXPO_1000385,2,0.0001
http://purl.obolibrary.org/obo/IMR_0100855,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0001134,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001807,12,0.0005
http://purl.obolibrary.org/obo/TXPO_1000388,2,0.0001
http://purl.obolibrary.org/obo/GO_0046889,3,0.0001
http://purl.obolibrary.org/obo/IMR_0200274,1,0.0000
http://purl.obolibrary.org/obo/TXPO_1000387,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001806,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001805,5,0.0002
http://purl.obolibrary.org/obo/TXPO_1000389,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0001804,10,0.0004
http://purl.obolibrary.org/obo/TXPO_0001809,7,0.0003
http://purl.obolibrary.org/obo/IMR_0200272,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001808,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0000556,2,0.0001
http://purl.obolibrary.org/obo/IMR_0001095,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001094,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001886,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000555,6,0.0003
http://purl.obolibrary.org/obo/IMR_0001093,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000554,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001885,4,0.0002
http://purl.obolibrary.org/obo/GO_0045595,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000553,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001884,5,0.0002
http://purl.obolibrary.org/obo/IMR_0001092,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001099,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001098,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000559,5,0.0002
http://purl.obolibrary.org/obo/IMR_0001097,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001889,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000558,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0000557,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001096,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001888,6,0.0003
http://purl.obolibrary.org/obo/IMR_0001091,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0000552,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001883,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000551,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001090,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001882,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0001881,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000550,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001880,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_27594,1,0.0000
http://purl.obolibrary.org/obo/IMR_0001089,1,0.0000
http://purl.obolibrary.org/obo/OGG_3000000983,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0001876,3,0.0001
http://purl.obolibrary.org/obo/IMR_0001084,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000545,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001875,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0000544,3,0.0001
http://purl.obolibrary.org/obo/OGG_3000353322,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000543,7,0.0003
http://purl.obolibrary.org/obo/TXPO_0001874,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000542,7,0.0003
http://purl.obolibrary.org/obo/IMR_0001088,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000549,4,0.0002
http://purl.obolibrary.org/obo/IMR_0001087,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001879,10,0.0004
http://purl.obolibrary.org/obo/TXPO_0000548,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002405,2,0.0001
http://purl.obolibrary.org/obo/IMR_0001086,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000547,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001878,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0001877,4,0.0002
http://purl.obolibrary.org/obo/IMR_0001085,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000546,6,0.0003
http://purl.obolibrary.org/obo/BFO_0000038,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000541,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0000540,8,0.0004
http://purl.obolibrary.org/obo/IMR_0200290,1,0.0000
http://purl.obolibrary.org/obo/BFO_0000040,26,0.0011
http://purl.obolibrary.org/obo/OGG_3000000997,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000539,7,0.0003
http://purl.obolibrary.org/obo/IMR_0200292,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001865,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000534,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001864,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0000533,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001863,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0000532,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0001869,2,0.0001
http://purl.obolibrary.org/obo/CHEBI_38221,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000538,4,0.0002
http://purl.obolibrary.org/obo/TXPO_0000537,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002416,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000536,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001867,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000535,7,0.0003
http://purl.obolibrary.org/obo/TXPO_0001866,10,0.0004
http://purl.obolibrary.org/obo/TXPO_0001861,4,0.0002
http://purl.obolibrary.org/obo/GO_0044281,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0001860,2,0.0001
http://purl.obolibrary.org/obo/GO_0015721,10,0.0004
http://purl.obolibrary.org/obo/GO_0015722,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000529,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0000528,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001859,5,0.0002
http://purl.obolibrary.org/obo/OGG_3000023645,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0000523,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001854,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001853,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0000522,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0000521,1,0.0000
http://purl.obolibrary.org/obo/TXPO_0001852,8,0.0004
http://purl.obolibrary.org/obo/TXPO_0001851,3,0.0001
http://purl.obolibrary.org/obo/TXPO_0000520,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0000527,6,0.0003
http://purl.obolibrary.org/obo/TXPO_0001858,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0000526,5,0.0002
http://purl.obolibrary.org/obo/TXPO_0001857,12,0.0005
http://purl.obolibrary.org/obo/TXPO_0000525,1,0.0000
http://purl.obolibrary.org/obo/CHEBI_38234,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001856,9,0.0004
http://purl.obolibrary.org/obo/TXPO_0000524,2,0.0001
http://purl.obolibrary.org/obo/TXPO_0001855,6,0.0003
