Class,Axioms,Coverage
http://purl.obolibrary.org/obo/UBERON_0001109,4,0.0001
http://purl.obolibrary.org/obo/GO_0046883,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0002436,9,0.0002
http://purl.obolibrary.org/obo/UBERON_0001105,50,0.0011
http://purl.obolibrary.org/obo/UBERON_0001106,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002437,27,0.0006
http://purl.obolibrary.org/obo/UBERON_0001107,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002438,14,0.0003
http://purl.obolibrary.org/obo/UBERON_0001108,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002439,6,0.0001
http://purl.obolibrary.org/obo/UBERON_6005378,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0015751,4,0.0001
http://purl.obolibrary.org/obo/GO_0007283,3,0.0001
http://purl.obolibrary.org/obo/NCBITaxon_314295,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0015757,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0001101,11,0.0002
http://purl.obolibrary.org/obo/UBERON_0002432,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0001102,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0002433,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0002434,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0001103,42,0.0009
http://purl.obolibrary.org/obo/UBERON_0002435,13,0.0003
http://purl.obolibrary.org/obo/UBERON_0001104,5,0.0001
http://purl.obolibrary.org/obo/UBERON_0002430,11,0.0002
http://purl.obolibrary.org/obo/UBERON_0001100,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002447,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001116,6,0.0001
http://purl.obolibrary.org/obo/UBERON_0002448,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0001117,7,0.0001
http://purl.obolibrary.org/obo/UBERON_0001118,10,0.0002
http://purl.obolibrary.org/obo/UBERON_0001119,3,0.0001
http://purl.obolibrary.org/obo/UBERON_0014410,4,0.0001
http://purl.obolibrary.org/obo/GO_0071834,1,0.0000
http://purl.obolibrary.org/obo/UBERON_0014411,2,0.0000
http://purl.obolibrary.org/obo/UBERON_0002443,4,0.0001
http://purl.obolibrary.org/obo/UBERON_0001112,16,0.0003
