Class,Axioms,Coverage
http://purl.obolibrary.org/obo/UPa_ULS00370,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00442,7,0.0005
http://purl.obolibrary.org/obo/UPa_UPA00415,19,0.0013
http://purl.obolibrary.org/obo/UPa_ULS00371,5,0.0003
http://purl.obolibrary.org/obo/UPa_UPA00416,16,0.0011
http://purl.obolibrary.org/obo/UPa_UER00443,9,0.0006
http://purl.obolibrary.org/obo/UPa_UPA00417,3,0.0002
http://purl.obolibrary.org/obo/UPa_UER00440,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00441,6,0.0004
http://purl.obolibrary.org/obo/UPa_UPA00418,8,0.0006
http://purl.obolibrary.org/obo/UPa_ULS00374,8,0.0006
http://purl.obolibrary.org/obo/UPa_UPA00411,47,0.0032
http://purl.obolibrary.org/obo/UPa_UER00446,10,0.0007
http://purl.obolibrary.org/obo/UPa_UPA00412,25,0.0017
http://purl.obolibrary.org/obo/UPa_ULS00375,5,0.0003
http://purl.obolibrary.org/obo/UPa_UER00447,6,0.0004
http://purl.obolibrary.org/obo/UPa_ULS00372,6,0.0004
http://purl.obolibrary.org/obo/UPa_UER00444,7,0.0005
http://purl.obolibrary.org/obo/UPa_UPA00413,33,0.0023
http://purl.obolibrary.org/obo/UPa_UPA00414,6,0.0004
http://purl.obolibrary.org/obo/UPa_ULS00373,9,0.0006
http://purl.obolibrary.org/obo/UPa_UER00445,6,0.0004
http://purl.obolibrary.org/obo/UPa_UPA00410,5,0.0003
http://purl.obolibrary.org/obo/UPa_UCR01229,5,0.0003
http://purl.obolibrary.org/obo/UPa_UCR01226,6,0.0004
http://purl.obolibrary.org/obo/UPa_UCR02554,8,0.0006
http://purl.obolibrary.org/obo/UPa_ULS00378,4,0.0003
http://purl.obolibrary.org/obo/UPa_UCR02553,6,0.0004
http://purl.obolibrary.org/obo/UPa_ULS00379,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00448,6,0.0004
http://purl.obolibrary.org/obo/UPa_ULS00376,5,0.0003
http://purl.obolibrary.org/obo/UPa_ULS00377,5,0.0003
http://purl.obolibrary.org/obo/UPa_UER00449,6,0.0004
http://purl.obolibrary.org/obo/UPa_UPA00419,8,0.0006
http://purl.obolibrary.org/obo/UPa_UPA00404,3,0.0002
http://purl.obolibrary.org/obo/UPa_ULS00381,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00453,5,0.0003
http://purl.obolibrary.org/obo/UPa_ULS00382,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00454,6,0.0004
http://purl.obolibrary.org/obo/UPa_UPA00405,3,0.0002
http://purl.obolibrary.org/obo/UPa_UPA00406,7,0.0005
http://purl.obolibrary.org/obo/UPa_UER00451,6,0.0004
http://purl.obolibrary.org/obo/UPa_ULS00380,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00452,7,0.0005
http://purl.obolibrary.org/obo/UPa_UPA00407,3,0.0002
http://purl.obolibrary.org/obo/UPa_UER00457,11,0.0008
http://purl.obolibrary.org/obo/UPa_UPA00400,3,0.0002
http://purl.obolibrary.org/obo/UPa_ULS00385,4,0.0003
http://purl.obolibrary.org/obo/UPa_ULS00386,4,0.0003
http://purl.obolibrary.org/obo/UPa_UER00458,6,0.0004
http://purl.obolibrary.org/obo/UPa_UPA00401,16,0.0011
http://purl.obolibrary.org/obo/UPa_ULS00383,7,0.0005
http://purl.obolibrary.org/obo/UPa_UER00455,6,0.0004
