Class,Axioms,Coverage
http://purl.obolibrary.org/obo/ZP_0009094,3,0.0000
http://purl.obolibrary.org/obo/ZP_0010083,5,0.0000
http://purl.obolibrary.org/obo/ZP_0010084,3,0.0000
http://purl.obolibrary.org/obo/ZP_0009095,3,0.0000
http://purl.obolibrary.org/obo/ZP_0010085,3,0.0000
http://purl.obolibrary.org/obo/GO_0046883,10,0.0001
http://purl.obolibrary.org/obo/ZP_0009092,32,0.0002
http://purl.obolibrary.org/obo/ZP_0010086,3,0.0000
http://purl.obolibrary.org/obo/ZP_0009093,29,0.0002
http://purl.obolibrary.org/obo/ZP_0009098,4,0.0000
http://purl.obolibrary.org/obo/GO_0046885,7,0.0000
http://purl.obolibrary.org/obo/ZP_0010080,3,0.0000
http://purl.obolibrary.org/obo/ZP_0009099,3,0.0000
http://purl.obolibrary.org/obo/GO_0071840,4,0.0000
http://purl.obolibrary.org/obo/ZP_0010081,3,0.0000
http://purl.obolibrary.org/obo/GO_0046887,8,0.0000
http://purl.obolibrary.org/obo/ZP_0009096,4,0.0000
http://purl.obolibrary.org/obo/ZP_0009097,3,0.0000
http://purl.obolibrary.org/obo/ZP_0010082,3,0.0000
http://purl.obolibrary.org/obo/GO_0046886,6,0.0000
http://purl.obolibrary.org/obo/GO_0032239,6,0.0000
http://purl.obolibrary.org/obo/ZP_0010087,4,0.0000
http://purl.obolibrary.org/obo/ZP_0009090,3,0.0000
http://purl.obolibrary.org/obo/ZP_0010088,3,0.0000
http://purl.obolibrary.org/obo/ZP_0009091,27,0.0002
http://purl.obolibrary.org/obo/ZP_0010089,3,0.0000
http://purl.obolibrary.org/obo/GO_0007281,17,0.0001
http://purl.obolibrary.org/obo/GO_0007284,7,0.0000
http://purl.obolibrary.org/obo/GO_0032240,5,0.0000
http://purl.obolibrary.org/obo/ZP_0022061,4,0.0000
http://purl.obolibrary.org/obo/GO_0007283,19,0.0001
http://purl.obolibrary.org/obo/ZP_0022060,3,0.0000
http://purl.obolibrary.org/obo/GO_0007286,6,0.0000
http://purl.obolibrary.org/obo/GO_0032241,5,0.0000
http://purl.obolibrary.org/obo/ZP_0022065,4,0.0000
http://purl.obolibrary.org/obo/ZP_0022064,5,0.0000
http://purl.obolibrary.org/obo/ZP_0022063,5,0.0000
http://purl.obolibrary.org/obo/ZP_0022062,4,0.0000
http://purl.obolibrary.org/obo/ZP_0022069,46,0.0003
http://purl.obolibrary.org/obo/ZP_0022068,8,0.0000
http://purl.obolibrary.org/obo/ZP_0022067,4,0.0000
http://purl.obolibrary.org/obo/ZP_0009089,4,0.0000
http://purl.obolibrary.org/obo/ZP_0022066,4,0.0000
http://purl.obolibrary.org/obo/GO_0046879,11,0.0001
http://purl.obolibrary.org/obo/ZP_0010094,4,0.0000
http://purl.obolibrary.org/obo/ZP_0009083,4,0.0000
http://purl.obolibrary.org/obo/ZP_0009084,7,0.0000
