Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment131/intraventricular-brain-neoplasm,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/wnt4-gene,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/brain-and-acute-leukemia-cy,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/homeobox-protein-otx2,13,0.0055
file:/C:/ccviews/forget/experiment/experiment131/osmotic-diuretic,8,0.0034
file:/C:/ccviews/forget/experiment/experiment131/melanoma-pathway,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/glycoprotein,14,0.0060
file:/C:/ccviews/forget/experiment/experiment131/phospholipid-metabolism,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/carnitine-o-palmitoyltransferase-1-brain-isoform,11,0.0047
file:/C:/ccviews/forget/experiment/experiment131/cell-differentiation-process,15,0.0064
file:/C:/ccviews/forget/experiment/experiment131/regulation-of-cell-shape,8,0.0034
file:/C:/ccviews/forget/experiment/experiment131/cell-survival,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/colorectal-cancer-pathway,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/protein-complex-subunit,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/floor-plate-of-midbrain,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/nos2-protein-mouse,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/grk3-gene,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/cell-death-signaling-process,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/macroglial-cell,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/membrane-of-the-smooth-endoplasmic-reticulum,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/presenilin-action-in-,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/delayed-encephalopathy-after-acute-carbon-monoxide-poisoning,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/cytokine-cytokine-receptor-signaling-pathway,7,0.0030
file:/C:/ccviews/forget/experiment/experiment131/kallikrein,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/embryo,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/bhlh-domain,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/leishmaniasis-infection-pathway,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/human-colostrum,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/5-hydroxytryptamine-receptor-2c,17,0.0073
file:/C:/ccviews/forget/experiment/experiment131/progesterone-mediated-oocyte-maturation-pathway,8,0.0034
file:/C:/ccviews/forget/experiment/experiment131/primary-central-nervous-system-neoplasm,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/spinal-cord,7,0.0030
file:/C:/ccviews/forget/experiment/experiment131/sulcus-of-brain,3,0.0013
file:/C:/ccviews/forget/experiment/experiment131/brainstem,3,0.0013
file:/C:/ccviews/forget/experiment/experiment131/diffuse-intrinsic-pontine-glioma,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/sh3-binding-motif,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/aggregate-regional-part-of-brain,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/map-kinase-inactivation-of-smrt-corepressor-pathway,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/lewy-body-dementia-measurement,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/neurocranium,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/leukotriene-b4-receptor-1,16,0.0068
file:/C:/ccviews/forget/experiment/experiment131/ventral-tegmental-area,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/isomerase,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/viral-encephalitis,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/hydrolase,2,0.0009
http://www.w3.org/2002/07/owl#Nothing,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/favorable-clinical-outcome,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/disabled-homolog-2,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/azepine,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/surface-of-brain,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/oprm1-gene,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/peptide-hormone,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/amyloid-beta-a4-precursor-protein-binding-family-a-member-1,11,0.0047
file:/C:/ccviews/forget/experiment/experiment131/outer-mitochondrial-membrane,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/photoreceptor-array,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/protein-turnover,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/russell-body,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/amyloid-beta-a4-precursor-protein-binding-family-a-member-2,9,0.0038
file:/C:/ccviews/forget/experiment/experiment131/midbrain-tectum,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/drug-liver-toxicity,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/fas-signaling-pathway-biocarta,2,0.0009
file:/C:/ccviews/forget/experiment/experiment131/insulininsulin-receptor-signaling-pathway,6,0.0026
file:/C:/ccviews/forget/experiment/experiment131/negative-domain-measurement,1,0.0004
file:/C:/ccviews/forget/experiment/experiment131/seizure,4,0.0017
file:/C:/ccviews/forget/experiment/experiment131/cadherin-11,9,0.0038
