Class,Axioms,Coverage
http://www.w3.org/2002/07/owl#Thing,62,1.0000
file:/C:/ccviews/forget/experiment/experiment133/neognathae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/bicuculline-methobromide,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/carboxylate--salt-,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/beraprost-sodium,10,0.1613
file:/C:/ccviews/forget/experiment/experiment133/phalacrocoracidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/well-circumscribed-lesion,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/3-methyl-2-cyclohexen-1-one,4,0.0645
file:/C:/ccviews/forget/experiment/experiment133/unsaturated-alcohol,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/slow-growing-painless-mass,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/phaethontidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/has2-plag1-fusion-protein-expression,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/vasodilator,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/J109,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/polynuclear-aromatic-compound,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/rearrangement-of-8q11-13,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/benign-lipomatous-neoplasm,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/J4,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/pelecaniformes,9,0.1452
file:/C:/ccviews/forget/experiment/experiment133/chimerin-1,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/trinitrobenzenes,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/cyclohexanes,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/reproductive-physiological-phenomena,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/platelet-aggregation-inhibitor,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/acute-kidney-infection,4,0.0645
file:/C:/ccviews/forget/experiment/experiment133/ardeidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/alicyclic-alcohol,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/oxygen-heterocyclic-compound,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/phalacrocorax-carbo,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/age,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/col1a2-plag1-fusion-protein-expression,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/benign-tumor,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/neoplastic-lipoblast,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/neoplastic-mature-adipocyte,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/httpsbmi,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/aves,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/diol,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/plag1-gene,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/chimerin-proteins,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/gain-of-chromosome-8,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/threskiornithidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/organic-compound,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/enyne,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/has2plag1-fusion-gene,3,0.0484
file:/C:/ccviews/forget/experiment/experiment133/chromosome-8,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/col1a2plag1-fusion-gene,3,0.0484
file:/C:/ccviews/forget/experiment/experiment133/kidney-disease,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/urinary-tract-infection,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/UMLS_Concept,3,0.0484
file:/C:/ccviews/forget/experiment/experiment133/picryl-chloride,3,0.0484
file:/C:/ccviews/forget/experiment/experiment133/sulidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/prostaglandin-analogue,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/localized-disease,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/lipoblastoma,21,0.3387
file:/C:/ccviews/forget/experiment/experiment133/pelecanidae,1,0.0161
file:/C:/ccviews/forget/experiment/experiment133/maternal-age,5,0.0806
file:/C:/ccviews/forget/experiment/experiment133/nikkajicompounds,2,0.0323
file:/C:/ccviews/forget/experiment/experiment133/bicuculline,1,0.0161
