Ontology,is ALC,avg concept in axiom,No. Concepts,No. Axioms,50%,100%,150%,200%
experiment1,false,1.9950,211,201,2,21,111,211
experiment20,false,2.5061,538,571,1,2,20,249
experiment27,false,1.9927,399,413,1,14,195,399
experiment6,false,3.0759,200,145,2,5,12,44
experiment18,false,2.4109,229,202,4,9,45,146
experiment11,false,2.0969,212,196,6,21,95,193
experiment16,false,2.2316,200,177,2,6,70,159
experiment8,false,2.9419,186,155,2,4,8,40
experiment17,false,2.5303,174,132,4,12,38,104
experiment28,false,2.3680,487,375,1,18,161,349
experiment9,false,2.0827,142,133,2,14,64,131
experiment10,false,2.0256,86,78,6,17,45,84
experiment7,false,2.5279,247,233,4,12,37,124
experiment26,false,2.4452,293,465,2,8,20,86
experiment19,false,1.9614,231,233,4,21,123,231
experiment21,false,2.4068,410,499,2,7,36,207
experiment24,false,2.8505,324,194,5,20,62,159
experiment5,false,3.7658,1366,1422,1,2,3,5
experiment2,false,2.0669,191,239,4,12,55,175
experiment23,false,2.6380,358,279,1,7,52,180
experiment15,false,2.5054,168,186,2,5,25,74
experiment12,false,1.9886,177,175,1,13,91,177
experiment13,false,2.0976,118,123,4,15,44,106
experiment14,false,2.7458,368,354,2,8,32,107
experiment22,false,2.0000,180,191,2,13,84,180
experiment3,false,2.1058,778,737,1,19,331,700
experiment4,false,3.0644,277,202,3,10,22,62
experiment25,false,2.0057,175,174,1,13,87,174
