Class,Axioms,Coverage
file:/Users/mostafa/Projects/forget/data/experiment23/refsum-disease,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/CHV_Concept,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/craniofacial-anomaly-with-cataract,3,0.0108
file:/Users/mostafa/Projects/forget/data/experiment23/microcephaly,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/systemic-disease-with-cataract,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/hepatocellular-liver-diseasehepatic-failure,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Organism,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/growth-stage,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Make-Inaccessible,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/dysostosischondrodysplasiaosteodysplasiaosteochondrosisskeletal-dysplasia,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/rat-juvenile,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/gm16866-cell,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/eeg-anomalies,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Regulation,4,0.0143
file:/Users/mostafa/Projects/forget/data/experiment23/Time-Interval,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/httpsbmi,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/adrenoleukodystrophy,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Gene-Expression,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13525,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13526,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13523,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Block,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13524,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/pyrroloiminoquinones,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13521,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13522,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/competitive-inhibition,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/ID-13520,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/butabarbital--homatropine-oral-solution,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/urticaria,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Genotype,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/tropanes,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/homatropine--hydrocodone-oral-solution,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/dehydrocholate--homatropine--phenobarbital-oral-tablet,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/microtropia-without-identity,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/mineral-metabolism,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/gm13266-cell,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/synechococcus,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/uncompetitive-inhibition,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/leukodystrophy,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/ID-7620,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/cortico-adrenal-hypoplasiainsufficiency,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/syndrome,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Enter,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/congenital-nervous-system-disorder,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/high-vaultednarrow-palate,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/multiple-abnormality,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/broad-nosenasal-bridge,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/sexually-immature-organism,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/terms-related-to-systems-rules-sciences-and-concepts,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Receptor-Site,3,0.0108
file:/Users/mostafa/Projects/forget/data/experiment23/acetaminophen--caffeine--homatropine-oral-tablet,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/maturation-stage,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/second-polar-body-emission-inhibition,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/prematurity,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/intellectual-deficitmentalpsychomotor-retardationlearning-disability,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/worldwide,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/monogenic-disease-with-epilepsy,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/peroxisome-biogenesis-factor-26,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/strabismus,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/taphrinaceae,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/flat-supraorbital-ridge,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/tumor,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Antibiotic,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/active-ingredient,22,0.0789
file:/Users/mostafa/Projects/forget/data/experiment23/homatropine--iodoquinol--phthalylsulfacetamide-oral-tablet,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/percent-inhibition-normalization,3,0.0108
file:/Users/mostafa/Projects/forget/data/experiment23/maturity,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/homatropine-oral-solution,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/agyriamicropachymacrogyrialissencephalygyrationneuronal-migration-defect,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/metabolic-disease-with-pigmentary-retinitis,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/dipyrone--homatropine-oral-solution,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/visual-lossblindnessamblyopia,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ic50,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/alkylmercury-compounds,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Feedback-Inhibition,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/Allosteric-Enzyme,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Phosphofructokinase,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/calcium-metabolism-Concept,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/action,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/lolium,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/homatropine-Concept,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/gm08764-cell,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/nikkajicompounds,3,0.0108
file:/Users/mostafa/Projects/forget/data/experiment23/thermosynechococcus-vulcanus,2,0.0072
file:/Users/mostafa/Projects/forget/data/experiment23/Event,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-1433,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/multicystic-kidneyrenal-dysplasia,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-1432,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-1435,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-1434,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Feedback-Mechanism,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/tight-binding-inhibition,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/UMLS_Concept,3,0.0108
file:/Users/mostafa/Projects/forget/data/experiment23/Feedback-Inhibition-Of-Glycolysis,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/unknown_epidemiological_range,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/diuretic,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/ID-19663,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/Quantity-Value,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/gm06094-cell,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/zellweger-like-syndrome-without-peroxisomal-anomalies,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/peroxisomal-disorders,1,0.0036
file:/Users/mostafa/Projects/forget/data/experiment23/gm16513-cell,1,0.0036
